,Hokkaido,Osaka,Tokushima,Nagasaki,Niigata,Hyogo,Ishikawa,Nagano,Tottori,Gunma,Oita,Saitama,Toyama,Akita,Wakayama,Kochi,Miyagi,Tokyo,Kanagawa,Fukuoka,Yamanashi,Aichi,Iwate,Unknown,Okayama,Nara,Mie,Kagawa,Miyazaki,Aomori,Shizuoka,Yamagata,Kumamoto,Hiroshima,Yamaguchi,Tochigi,Kagoshima,Chiba,Saga,Gifu,Okinawa,Shimane,Fukui,Ehime,Kyoto,Shiga,Fukushima,Ibaraki
2019-07-03 19:00:00,1,15,1,6,0,7,0,6,0,2,1,3,1,1,0,1,2,21,6,5,1,10,2,1,1,0,2,1,14,1,7,0,11,4,2,2,18,6,1,1,2,1,1,4,2,2,2,3
2019-07-03 20:00:00,2,18,1,2,0,6,0,4,0,2,1,9,0,0,3,1,0,20,5,12,0,3,7,2,2,3,1,0,10,0,5,1,1,1,1,2,20,7,1,2,0,0,0,3,6,0,2,3
2019-07-03 21:00:00,2,15,0,4,3,4,0,3,0,2,2,7,0,0,2,0,2,27,19,2,0,8,4,1,1,4,3,1,6,1,8,0,7,5,1,2,5,7,1,2,1,0,0,5,4,1,2,6
2019-07-03 22:00:00,2,21,0,2,1,4,1,2,0,3,2,7,0,1,2,0,1,22,6,5,1,3,0,3,1,1,2,1,5,0,3,0,0,2,1,2,10,8,2,2,0,0,0,0,5,3,7,1
2019-07-03 23:00:00,3,9,0,3,3,6,0,7,0,4,2,7,2,0,0,0,1,27,6,7,0,11,0,1,0,2,1,1,2,0,2,0,5,1,0,2,6,5,0,0,1,0,1,2,5,0,1,1
2019-07-04 00:00:00,0,6,0,2,0,3,1,3,0,1,0,1,1,1,1,0,0,6,2,2,0,8,1,0,0,0,0,0,1,1,4,0,1,1,1,3,11,2,0,0,1,0,1,1,3,0,2,0
2019-07-04 01:00:00,0,8,0,0,0,4,0,0,0,0,1,3,0,0,1,0,2,8,2,1,0,5,0,0,0,0,1,1,0,0,3,2,1,0,1,1,3,1,0,0,0,0,0,0,2,1,3,1
2019-07-04 02:00:00,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,1,0,1,1,0,0,0,3,0,0,0,0,0,4,1,0,0,0,3,0,0,3,0,3,0
2019-07-04 03:00:00,0,2,0,0,0,2,0,1,0,0,0,4,0,0,1,0,0,3,1,0,0,8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1
2019-07-04 04:00:00,0,1,1,0,1,2,1,2,2,0,0,3,0,0,0,0,0,2,7,1,1,4,0,0,1,1,1,0,1,0,2,0,0,0,0,1,3,4,0,0,0,1,0,1,2,0,0,0
2019-07-04 05:00:00,0,6,1,0,3,2,0,3,0,1,0,8,1,0,1,0,3,12,20,1,4,8,0,1,0,1,0,0,0,0,7,0,3,1,0,0,2,6,0,0,0,0,0,2,1,1,0,2
2019-07-04 06:00:00,3,7,0,1,5,6,0,7,2,6,0,16,1,0,1,0,6,45,18,0,0,12,4,0,0,8,4,1,5,1,41,0,4,1,1,3,12,11,2,3,1,1,2,0,4,0,9,6
2019-07-04 07:00:00,6,18,0,4,8,3,0,8,1,4,0,41,3,1,0,8,10,69,38,7,1,15,8,0,8,4,3,0,8,2,50,5,5,2,1,11,12,23,2,11,0,0,2,2,1,4,13,9
2019-07-04 08:00:00,2,16,0,2,5,7,1,8,0,7,1,34,1,2,2,0,7,117,42,1,6,15,3,11,3,1,4,0,2,1,28,4,3,0,1,12,12,33,0,0,2,0,1,1,6,0,8,11
2019-07-04 09:00:00,4,7,0,1,2,1,0,8,1,5,2,19,0,0,0,0,3,54,26,6,1,12,2,8,2,0,2,1,2,0,9,4,2,1,0,4,3,14,1,2,0,0,0,0,2,1,6,10
2019-07-04 10:00:00,0,7,0,2,3,6,0,4,2,6,0,28,0,0,0,0,7,52,17,5,1,9,4,3,2,1,0,0,2,2,17,2,0,0,1,3,11,15,0,0,0,1,2,0,0,0,3,9
2019-07-04 11:00:00,1,5,0,0,0,2,1,1,0,4,0,15,1,0,0,0,1,52,11,6,0,3,0,2,1,1,1,0,0,1,12,1,1,1,1,0,8,14,0,0,2,0,0,1,0,0,2,3
2019-07-04 12:00:00,3,5,0,1,1,2,1,4,1,0,3,10,1,0,0,2,5,44,16,3,0,6,0,0,0,1,0,1,4,0,10,3,2,1,3,6,3,17,1,2,5,0,1,1,2,1,3,3
